id_ons,nom_usina,uf,fonte,vigencia,pac_nome,pac_tensao_kv,fracao_potencia,n_usinas,n_usinas_sem_pac,pot_mw,metodo,confianca,grafias,eng_gwh_2025
CJU_BAIGD,CONJ. IGAPORÃ II,BA,EOL,ativo,,,,14,14,0.0,nao_casado,,,561.578
CJU_BALRA,CONJ. LARANJEIRAS,BA,EOL,ativo,GENTIO DO OURO 2,230.0,1.0,14,0,503.4,ons_cadastro,alta,"SE 230 kV Gentio do Ouro II  | SE GENTIO DO OURO II 230,0 kV",780.83
CJU_BALAL,CONJ. LICÍNIO DE ALMEIDA,BA,EOL,encerrado em 2022-05-31,,,,4,4,0.0,nao_casado,,,0.0
CJU_BAMOR,CONJ. MORRÃO,BA,EOL,ativo,IGAPORA 2 ICG,230.0,1.0,4,0,117.2,ons_cadastro,alta,SE 230 kV Igaporã II - ICG ,237.133
CJU_BAMCS,CONJ. MORRO DO CHAPÉU SUL,BA,EOL,ativo,MORRO DO CHAPEU 2,230.0,1.0,6,0,172.0,ons_cadastro,alta,"SE MORRO DO CHAPEU II 230,0 kV",216.076
CJU_BAMS2,CONJ. MORRO DO CHAPÉU SUL 2,BA,EOL,encerrado em 2022-05-22,MORRO DO CHAPEU 2,500.0,1.0,9,0,352.8,ons_cadastro,alta,"SE MORRO DO CHAPEU II 500,0 kV",0.0
CJU_BAMS2A,CONJ. MORRO DO CHAPÉU SUL II-A,BA,EOL,encerrado em 2023-02-01,MORRO DO CHAPEU 2,500.0,1.0,6,0,226.8,ons_cadastro,alta,"SE MORRO DO CHAPEU II 500,0 kV",0.0
CJU_BAMS2B,CONJ. MORRO DO CHAPÉU SUL II-B,BA,EOL,encerrado em 2023-02-01,MORRO DO CHAPEU 2,500.0,1.0,3,0,126.0,ons_cadastro,alta,"SE MORRO DO CHAPEU II 500,0 kV",0.0
CJU_BANSC,CONJ. N. S. DA CONCEIÇÃO,BA,EOL,encerrado em 2022-05-31,,,,4,4,0.0,nao_casado,,,0.0
CJU_BAPBR,CONJ. PEDRA BRANCA,BA,EOL,ativo,SOBRADINHO,230.0,1.0,8,0,247.665,ons_cadastro,alta,SE 230 KV SOBRADINHO | SE 230 kV Sobradinho ,155.953
CJU_BAPEL,CONJ. PELOURINHO,BA,EOL,ativo,PINDAI 2 ICG,69.0,1.0,2,1,21.2,ons_cadastro,alta,SE 69 kV Pindaí II - ICG,100.027
CJU_BAPNT,CONJ. PLANALTINA,BA,EOL,encerrado em 2022-05-31,,,,2,2,0.0,nao_casado,,,0.0
CJU_BAQUN,CONJ. QUINA,BA,EOL,encerrado em 2024-10-29,IGAPORA 3,500.0,1.0,7,0,108.3,ons_cadastro,alta,"SE IGAPORA III 500,0 kV",0.0
CJU_BAVSE,CONJ. SANTA EUGÊNIA,BA,EOL,ativo,GENTIO DO OURO 2,500.0,1.0,14,0,518.7,ons_cadastro,alta,"SE GENTIO DO OURO II 500 KV | SE GENTIO DO OURO II 500,0 kV | SE Gentio do Ouro II 500 kV",584.656
CJU_BASAZ,CONJ. SERRA AZUL,BA,EOL,ativo,MORRO DO CHAPEU 2,230.0,1.0,4,0,117.9,ons_cadastro,alta,SE 230 kV Morro do Chapéu II | SE 230 kV Morro do Chapéu II ,171.738
CJU_BASDB,CONJ. SERRA DA BABILÔNIA,BA,EOL,ativo,MORRO DO CHAPEU 2,230.0,1.0,14,1,361.05,ons_cadastro,alta,"SE MORRO DO CHAPEU II 230,0 kV",490.953
CJU_BATBR,CONJ. TAMBORIL I,BA,EOL,encerrado em 2024-10-29,IGAPORA 3,500.0,1.0,5,0,81.0,ons_cadastro,alta,"SE IGAPORA III 500,0 kV",0.0
CJU_BATBD,CONJ. TAMBORIL II,BA,EOL,ativo,IGAPORA 3,230.0,1.0,4,0,64.8,ons_cadastro,alta,"SE IGAPORA III 230,0 kV",111.789
CJU_BATUC,CONJ. TUCANO,BA,EOL,ativo,OLINDINA,500.0,1.0,8,0,322.4,ons_cadastro,alta,"SE OLINDINA 500,0 kV",233.979
CJU_BAUBN,CONJ. UMBURANAS,BA,EOL,ativo,OUROLANDIA 2,230.0,1.0,18,0,360.0,ons_cadastro,alta,"SE OUROLANDIA II 230,0 kV",549.991
CJU_BAVB2,CONJ. VENTOS DA BAHIA 2,BA,EOL,encerrado em 2024-01-03,MORRO DO CHAPEU 2,230.0,1.0,4,0,116.60000000000001,ons_cadastro,alta,"SE MORRO DO CHAPEU II 230,0 kV",0.0
CJU_BAVB3,CONJ. VENTOS DA BAHIA III,BA,EOL,encerrado em 2024-01-03,MORRO DO CHAPEU 2,230.0,1.0,4,0,181.5,ons_cadastro,alta,"SE MORRO DO CHAPEU II 230,0 kV",0.0
CJU_BASVT,CONJ. VENTOS DE SÃO VITOR,BA,EOL,ativo,GENTIO DO OURO 2,230.0,1.0,14,0,465.0,ons_cadastro,alta,"SE GENTIO DO OURO II 230,0 kV",497.533
CEECVA,CATAVENTOS ACARAÚ I,CE,EOL,ativo,ACARAU 2,230.0,1.0,1,0,28.0,ons_cadastro,alta,SE 230 kV Acaraú II ,1.025
CJU_CEAUD,CONJ. ACARAÚ II,CE,EOL,ativo,SOBRAL 3,230.0,1.0,2,0,70.8,ons_cadastro,alta,SE 230 kV Sobral III ,115.866
CJU_CEARD,CONJ. ARACATI II,CE,EOL,ativo,RUSSAS 2,230.0,1.0,3,0,138.5,ons_cadastro,alta,SE 230 kV Russas II | SE 230 kV Russas II ,223.357
CJU_CECBS,CONJ. CACIMBAS,CE,EOL,ativo,IBIAPINA 2,230.0,1.0,5,1,75.6,ons_cadastro,alta,"SE IBIAPINA II 230,0 kV",91.571
CJU_CEFSA,CONJ. FAÍSA,CE,EOL,ativo,PECEM 2,230.0,1.0,9,0,215.8,ons_cadastro,alta,"SE 230 kV Pecém II  | SE PECEM II 230,0 kV",276.969
CJU_CEICR,CONJ. ICARAÍ,CE,EOL,ativo,SOBRAL 3,230.0,1.0,5,3,65.1,ons_cadastro,alta,SE SOBRAL III 230kV,253.164
CJU_CEITC,CONJ. ITAREMA V,CE,EOL,ativo,ACARAU 2,230.0,1.0,9,0,207.0,ons_cadastro,alta,"SE ACARAU II 230,0 kV",335.946
CJU_CEJAN,CONJ. JANDAIA,CE,EOL,ativo,RUSSAS 2,230.0,1.0,5,0,119.0,ons_cadastro,alta,SE 230 kV Russas II ,134.081
CJU_CEPPG,CONJ. PAPAGAIOS,CE,EOL,ativo,ACARAU 2,69.0,1.0,3,0,87.0,ons_cadastro,alta,SE 69 kV Acaraú II ,160.556
CJU_CECHE,CONJ. PEDRA CHEIROSA,CE,EOL,ativo,SOBRAL 3,230.0,1.0,2,0,48.3,ons_cadastro,alta,SE Sobral III  230 kV,79.8
CJU_CEPTM,CONJ. PITOMBEIRA,CE,EOL,ativo,RUSSAS 2,230.0,1.0,5,0,98.7,ons_cadastro,alta,SE 230 kV Russas II ,154.859
CJU_CESRO,CONJ. SANTA ROSÁLIA,CE,EOL,ativo,IBIAPINA 2,69.0,1.0,5,0,141.01,ons_cadastro,alta,SE Ibiapina II 69 kV,150.672
CJU_CESTI,CONJ. SANTO INÁCIO,CE,EOL,encerrado em 2023-02-01,MOSSORO 4,230.0,1.0,6,0,172.16,ons_cadastro,alta,"SE 230 kV Mossoró IV | SE 230 kV Mossoró IV  | SE MOSSORO IV 230,0 kV | SE MOSSORÓ IV 230 KV",0.0
CJU_CESEM,CONJ. SERRA DO MATO,CE,EOL,ativo,PECEM 2,230.0,1.0,6,1,100.8,ons_cadastro,alta,"SE PECEM II 230,0 kV",187.014
CJU_CESER,CONJ. SERROTE,CE,EOL,encerrado em 2022-05-22,PECEM 2,230.0,1.0,14,1,306.6,ons_cadastro,alta,"SE PECEM II 230,0 kV",0.0
CJU_CESERA,CONJ. SERROTE A,CE,EOL,ativo,PECEM 2,230.0,1.0,8,0,205.79999999999998,ons_cadastro,alta,"SE PECEM II 230,0 kV",292.296
CJU_CETBA,CONJ. TAÍBA,CE,EOL,ativo,PECEM 2,230.0,1.0,3,0,56.7,ons_cadastro,alta,SE  Pecém II 230kV,96.698
CJU_CETRA,CONJ. TRAIRÍ,CE,EOL,ativo,PECEM 2,230.0,1.0,8,0,212.5,ons_cadastro,alta,SE 230 kV Pecém II  | SE Pecém II 230 kV,345.429
CEUCZ,ICARAIZINHO,CE,EOL,ativo,SOBRAL 3,230.0,1.0,1,0,54.6,ons_cadastro,alta,"SE SOBRAL III 230,0 kV",76.268
CEEMAU,MALHADINHA 1,CE,EOL,ativo,IBIAPINA 2,69.0,1.0,1,0,23.1,ons_cadastro,alta,"SE IBIAPINA II 69,0 kV",31.588
CEUFM,PRAIA FORMOSA,CE,EOL,ativo,SOBRAL 3,230.0,1.0,1,0,105.0,ons_cadastro,alta,"SE SOBRAL III 230,0 kV",106.243
CJU_PBCHN,CONJ. CHAFARIZ NORTE,PB,EOL,ativo,SANTA LUZIA 2,500.0,1.0,5,0,159.39,ons_cadastro,alta,"SE SANTA LUZIA II 500,0 kV",145.537
CJU_PBCHS,CONJ. CHAFARIZ SUL I,PB,EOL,ativo,SANTA LUZIA 2,500.0,1.0,5,0,142.065,ons_cadastro,alta,"SE SANTA LUZIA II 500,0 kV",138.239
CJU_PBCHSD,CONJ. CHAFARIZ SUL II,PB,EOL,ativo,SANTA LUZIA 2,500.0,1.0,5,0,169.785,ons_cadastro,alta,"SE SANTA LUZIA II 500 KV | SE SANTA LUZIA II 500,0 kV",177.56
CJU_PBCSDS,CONJ. SERRA DO SERIDÓ,PB,EOL,ativo,SANTA LUZIA 2,500.0,1.0,12,0,496.3,ons_cadastro,alta,"SE SANTA LUZIA II 500,0 kV | SE Santa Luzia II 500 kV | SE Santa Luzia II 500kV",327.972
CJU_PECE2,CONJ. CAETÉS II,PE,EOL,ativo,CAETES 2,230.0,1.0,7,0,181.9,ons_cadastro,alta,"SE CAETES II 230,0 kV",175.819
CJU_PEPAR,CONJ. PARANATAMA,PE,EOL,ativo,GARANHUNS 2,230.0,1.0,8,0,236.0,ons_cadastro,alta,"SE 230 kV Garanhuns II  | SE GARANHUNS II 230,0 kV | SE Garanhuns II 230 kV",168.231
CJU_PECLE,CONJ. SÃO CLEMENTE,PE,EOL,ativo,GARANHUNS 2,230.0,1.0,8,0,232.47,ons_cadastro,alta,SE Garanhuns II 230 kV,202.861
CJU_PETAT,CONJ. TACARATU,PE,EOL,encerrado em 2023-02-01,TACARATU,230.0,1.0,5,0,89.9,ons_cadastro,alta,"SE TACARATU 230,0 kV",0.0
CJU_PEETAT,CONJ. TACARATU (EÓLICO),PE,EOL,encerrado em 2026-02-04,TACARATU,230.0,1.0,3,0,79.9,ons_cadastro,alta,"SE TACARATU 230,0 kV",66.439
CJU_PEFVD,CONJ. TACARATU II,PE,EOL,encerrado em 2026-02-04,TACARATU,230.0,1.0,2,0,99.0,ons_cadastro,alta,"SE TACARATU 230,0 kV",40.489
CJU_PIAR3,CONJ. ARARIPE III,PI,EOL,encerrado em 2024-09-25,CURRAL NOVO DO PIAUI 2,230.0,1.0,14,0,357.9,ons_cadastro,alta,"SE CURRAL NOVO DO PIAUI II 230,0 kV | SE CURRAL NOVO DO PIAUÍ II 230 KV",0.0
CJU_PICH1,CONJ. CHAPADA I,PI,EOL,ativo,COLETORA CHAPADA I,230.0,1.0,7,0,210.0,ons_cadastro,alta,"SE COLETORA CHAPADA I 230,0 kV",190.508
CJU_PICP2,CONJ. CHAPADA II,PI,EOL,ativo,CHAPADA 2,230.0,1.0,7,0,205.1,ons_cadastro,alta,"SE CHAPADA II 230,0 kV",147.913
CJU_PICP3,CONJ. CHAPADA III,PI,EOL,ativo,CHAPADA 3,230.0,0.8825561312607946,8,0,204.4,rateio_potencia,media,"SE CHAPADA III 230,0 kV",167.863
CJU_PICP3,CONJ. CHAPADA III,PI,EOL,ativo,COLETORA CHAPADA 3,230.0,0.11744386873920552,8,0,27.2,rateio_potencia,media,"SE COLETORA CHAPADA III 230,0 kV",22.338
CJU_PICPH,CONJ. CHAPADINHA,PI,EOL,encerrado em 2024-09-25,,,,7,7,0.0,nao_casado,,,0.0
CJU_PILDB,CONJ. LAGOA DO BARRO I,PI,EOL,encerrado em 2023-02-01,SAO JOAO DO PIAUI,230.0,1.0,8,0,213.0,ons_cadastro,alta,"SE 230 kV São João do Piauí | SE 230 kV São João do Piauí  | SE SAO JOAO DO PIAUI 230,0 kV",0.0
CJU_PILB2,CONJ. LAGOA DO BARRO II,PI,EOL,encerrado em 2023-02-01,SAO JOAO DO PIAUI,230.0,1.0,2,0,82.80000000000001,ons_cadastro,alta,"SE SAO JOAO DO PIAUI 230,0 kV",0.0
CJU_PILDV,CONJ. LAGOA DOS VENTOS,PI,EOL,ativo,SAO JOAO DO PIAUI,500.0,1.0,21,0,716.55,ons_cadastro,alta,"SE SAO JOAO DO PIAUI 500,0 kV",757.53
CJU_PIOIT,CONJ. OITIS,PI,EOL,ativo,QUEIMADA NOVA 2,500.0,0.6702127659574468,12,1,346.5,rateio_potencia,media,"SE QUEIMADA NOVA II 500 KV | SE QUEIMADA NOVA II 500,0 kV",309.92
CJU_PIOIT,CONJ. OITIS,PI,EOL,ativo,QUEIMADA NOVA,500.0,0.32978723404255317,12,1,170.5,rateio_potencia,media,SE Queimada Nova 500 kV,152.5
CJU_PISBA,CONJ. SÃO BASÍLIO,PI,EOL,encerrado em 2023-02-01,CURRAL NOVO DO PIAUI 2,230.0,1.0,14,0,401.794,ons_cadastro,alta,"SE CURRAL NOVO DO PIAUI II 230,0 kV | SE Curral Novo do Piauí II 230 kV",0.0
CJU_PIVSR,CONJ. SÃO ROQUE,PI,EOL,ativo,QUEIMADA NOVA 2,500.0,1.0,17,0,795.0,ons_cadastro,alta,"SE QUEIMADA NOVA II 500,0 kV",657.695
CJU_PISR0B,CONJ. VENTOS DE SÃO ROQUE B,PI,EOL,ativo,,,,0,0,0.0,nao_casado,,,0.0
CJU_PIVDP2,CONJ. VENTOS DO PIAUÍ II,PI,EOL,encerrado em 2024-09-25,CURRAL NOVO DO PIAUI 2,230.0,1.0,5,0,211.5,ons_cadastro,alta,"SE CURRAL NOVO DO PIAUI II 230,0 kV",0.0
CJU_PIVDP3,CONJ. VENTOS DO PIAUÍ III,PI,EOL,encerrado em 2024-09-25,CURRAL NOVO DO PIAUI 2,230.0,1.0,5,0,202.4,ons_cadastro,alta,"SE CURRAL NOVO DO PIAUI II 230,0 kV",0.0
RNUAU,ALEGRIA I,RN,EOL,ativo,MACAU,69.0,1.0,1,0,51.0,ons_cadastro,alta,SE MACAU 69 KV,68.518
RNUAD,ALEGRIA II,RN,EOL,ativo,GUAMARE,69.0,1.0,1,0,100.65,ons_cadastro,alta,Guamaré 69 kV,131.185
CJU_RNAFB,CONJ. AFONSO BEZERRA,RN,EOL,ativo,ACU 2,230.0,1.0,6,0,159.6,ons_cadastro,alta,"SE ACU II 230,0 kV",289.132
CJU_RNAMZ,CONJ. AMAZONAS,RN,EOL,encerrado em 2024-10-08,MOSSORO 2,230.0,1.0,10,0,268.485,ons_cadastro,alta,"SE 230 kV Mossoró II  | SE MOSSORO II 230,0 kV",0.0
CJU_RNANE,CONJ. ANEMUS,RN,EOL,ativo,CURRAIS NOVOS 2,230.0,1.0,3,0,138.6,ons_cadastro,alta,SE CURRARIS NOVOS II 230 KV | SE Currais Novos II 230 kV,114.36
CJU_RNABR,CONJ. AREIA BRANCA,RN,EOL,ativo,MOSSORO 2,230.0,1.0,2,0,50.400000000000006,ons_cadastro,alta,SE 230 kV Mossoró II ,77.911
CJU_RNSAB,CONJ. ASA BRANCA,RN,EOL,ativo,JOAO CAMARA 3,500.0,1.0,5,0,160.0,ons_cadastro,alta,"SE JOAO CAMARA III 500,0 kV",273.473
CJU_RNAVD,CONJ. AVENTURA,RN,EOL,ativo,JOAO CAMARA 2,230.0,0.8,4,0,84.0,rateio_potencia,media,"SE JOAO CAMARA 2 230,0 kV",171.81
CJU_RNAVD,CONJ. AVENTURA,RN,EOL,ativo,JOAO CAMARA,230.0,0.2,4,0,21.0,rateio_potencia,media,"SE JOAO CAMARA 230,0 kV",42.953
CJU_RNBFJ,CONJ. BAIXA DO FEIJÃO,RN,EOL,ativo,JOAO CAMARA 3,138.0,1.0,7,0,218.7,ons_cadastro,alta,"SE JOAO CAMARA III 138,0 kV",343.625
CJU_RNBSL,CONJ. BLOCO SUL,RN,EOL,ativo,JOAO CAMARA 3,138.0,1.0,6,0,155.4,ons_cadastro,alta,SE João Câmara III  138 kV,329.628
CJU_RNBP1,CONJ. BRISA POTIGUAR I,RN,EOL,ativo,JOAO CAMARA 3,138.0,1.0,7,0,183.6,ons_cadastro,alta,"SE JOAO CAMARA III 138,0 kV | SE JOAO CAMARA III 500,0 kV",375.609
CJU_RNCPD,CONJ. CABEÇO PRETO II,RN,EOL,ativo,JOAO CAMARA 3 ICG,138.0,0.50390625,6,0,77.4,rateio_potencia,media,SE 138 kV João Câmara III - ICG ,128.216
CJU_RNCPD,CONJ. CABEÇO PRETO II,RN,EOL,ativo,JOAO CAMARA 3,138.0,0.49609374999999994,6,0,76.2,rateio_potencia,media,"SE JOAO CAMARA III 138,0 kV | SE João Câmara III 138 kV",126.228
CJU_RNCA1,CONJ. CALANGO 1,RN,EOL,ativo,LAGOA NOVA 2,69.0,1.0,2,0,60.0,ons_cadastro,alta,SE Lagoa Nova II 69kV,43.497
CJU_RNCA2,CONJ. CALANGO 2,RN,EOL,ativo,LAGOA NOVA 2,69.0,1.0,3,0,90.0,ons_cadastro,alta,SE Lagoa Nova II 69kV,52.517
CJU_RNCA3,CONJ. CALANGO 3,RN,EOL,ativo,LAGOA NOVA 2,69.0,1.0,3,0,84.0,ons_cadastro,alta,SE Lagoa Nova II 69kV,83.864
CJU_RNCDV,CONJ. CAMPO DOS VENTOS,RN,EOL,ativo,JOAO CAMARA 3,138.0,1.0,4,0,105.6,ons_cadastro,alta,"SE JOAO CAMARA III 138,0 kV",208.164
CJU_RNCAD,CONJ. CARCARÁ II,RN,EOL,encerrado em 2024-10-08,MOSSORO 2,230.0,1.0,3,0,90.0,ons_cadastro,alta,SE 230 kV Mossoró II ,0.0
CJU_RNCNB,CONJ. CARNAÚBAS,RN,EOL,ativo,TOUROS ICG,69.0,0.7467846770847739,4,0,81.0,rateio_potencia,media,SE 69 kV Touros - ICG ,198.164
CJU_RNCNB,CONJ. CARNAÚBAS,RN,EOL,ativo,TOUROS,69.0,0.2532153229152261,4,0,27.465,rateio_potencia,media,SE TOUROS 69 KV,67.192
CJU_RNCMR,CONJ. CUMARU,RN,EOL,ativo,JOAO CAMARA 3,230.0,1.0,5,0,205.8,ons_cadastro,alta,"SE JOAO CAMARA III 230,0 kV",676.398
CJU_RNCUT,CONJ. CUTIA,RN,EOL,ativo,TOUROS,230.0,1.0,13,0,312.90000000000003,ons_cadastro,alta,"SE TOUROS 230 KV | SE TOUROS 230,0 kV",610.385
CJU_RNFIG,CONJ. FILGUEIRA,RN,EOL,encerrado em 2024-10-08,MOSSORO 2,230.0,1.0,2,0,67.44999999999999,ons_cadastro,alta,"SE MOSSORO II 230,0 kV",0.0
CJU_RNGAM,CONJ. GAMELEIRA,RN,EOL,ativo,TOUROS,230.0,1.0,4,0,81.65,ons_cadastro,alta,"SE TOUROS 230,0 kV",119.095
CJU_RNJDA,CONJ. JANDAÍRA I,RN,EOL,ativo,JOAO CAMARA 3,230.0,0.6856106408706166,4,0,62.37,rateio_potencia,media,"SE JOAO CAMARA III 230,0 kV",146.518
CJU_RNJDA,CONJ. JANDAÍRA I,RN,EOL,ativo,JOAO CAMARA,230.0,0.3143893591293833,4,0,28.6,rateio_potencia,media,SE 230kV JOÃO CÂMARA,67.187
CJU_RNJER,CONJ. JERUSALÉM,RN,EOL,ativo,SECC. LT ACU 3 – JOAO CAMARA 3,500.0,0.8870967741935485,8,0,231.0,rateio_potencia,media,LT 500 KV AÇÚ III – JOÃO CÂMARA III | SECCIONAMENTO LT 500 KV AÇÚ III - JOÃO CÂMARA | SECCIONAMENTO LT 500 KV AÇÚ III – JOÃO CÂMARA | Seccionamento LT 500 kV Açú III - João Câmara,557.262
CJU_RNJER,CONJ. JERUSALÉM,RN,EOL,ativo,MONTE VERDE,500.0,0.11290322580645162,8,0,29.4,rateio_potencia,media,"SE MONTE VERDE 500,0 kV",70.924
CJU_RNMAC,CONJ. MACACOS,RN,EOL,ativo,JOAO CAMARA 3 ICG,138.0,1.0,4,0,78.2,ons_cadastro,alta,SE 138 kV João Câmara III - ICG ,133.029
CJU_RNMSC,CONJ. MANGUE SECO,RN,EOL,ativo,POLO,138.0,1.0,4,0,104.0,ons_cadastro,alta,SE 138 kV Pólo ,176.985
CJU_RNMOD,CONJ. MODELO,RN,EOL,ativo,JOAO CAMARA 2,69.0,1.0,2,0,56.3,ons_cadastro,alta,SE 69 kV João Câmara II ,107.189
CJU_RNMNR,CONJ. MONTE DO RONCA,RN,EOL,ativo,JOAO CAMARA 3,230.0,1.0,4,2,159.39,ons_cadastro,alta,SE JOÃO CAMARA III 230 KV | SE JOÃO CÂMARA III 230 KV,492.882
CJU_RNEMVD,CONJ. MONTE VERDE,RN,EOL,ativo,SECC. LT ACU 3 – JOAO CAMARA 3,500.0,0.5165884447321573,16,0,319.2,rateio_potencia,media,SECCIONAMENTO LT 500 KV AÇU III - JOÃO CÂMARA | SECCIONAMENTO LT 500 KV AÇÚ III - JOÃO CÂMARA | Seccionamento LT 500 kV Açú III - João Câmara,396.301
CJU_RNEMVD,CONJ. MONTE VERDE,RN,EOL,ativo,MONTE VERDE,500.0,0.4834115552678427,16,0,298.7,rateio_potencia,media,"SE MONTE VERDE 500 KV | SE MONTE VERDE 500,0 kV",370.849
